Name,Alternative name,Gender,Year of birth,Year of death,Place of birth,Province of birth,Year of (last) migration,Transmigration (yes/no),Region of arrival: Northern Low Countries,Region of arrival: England,Region of arrival: German lands,Region of arrival: other,Mother tongue,Dutch,French,German,English,Latin,Greek,Hebrew,Italian,Spanish,Other,Author,Calligrapher,Librarian,"Printer, publisher, editor",Professor,"Schoolmaster, teacher, tutor","Scribe, secretary, clerk, agent",Rhetorician,Translator,"Profession, other",Converted monk,Authored works,Sources
"Bailly, Pieter",,male,,,Antwerp,Brabant,1577,no,yes,no,no,,,,,,,,,,,,,,yes,,yes,,yes,,,,beadle,,,
"Baudartius, Willem",,male,1565,,Deinze,Flanders,,yes,yes,yes,no,,Dutch,yes,yes,yes,yes,yes,yes,yes,,,,yes,,,,,,,,yes,"historiographer, minister",,"Waerschouwinghe aen alle christenen  (1603), Af-beeldinge der coninghinne Elyzabeth (1604), Apophthegmata christiana (1605), Een seker ende waerachtich verhael  (1606), Wech-bereyder op de verbeteringhe van den Nederlantschen Bybel (1606), Morghen-wecker der vrye Nederlantsche provintien  (1610), , Iaer-clachte over den schreckelijcken moort begaen aen Henricum IIII (1611), Afbeeldinghe, ende beschrijvinghe  (1615), Wieghe ofte afbeeldinghe ende aenwijsinghe  (1615)",
"Baudius, Dominicus","Baudier, Dominique",male,1561,1613,Lille,Flanders,,yes,yes,yes,yes,France,French,,yes,,,yes,,,,,,yes,,,,yes,,,,,lawyer,,"Carmina (1587),  Iamborum liber (1591), Poemata (1607) Dissertativncvla svper indvciis belli Belgici (1609)",
"Berghe, Nicolaes van den","Hill, Nicolas",male,,1555,,,,yes,no,yes,yes,,Dutch,yes,,,yes,,,,,,,,,,yes,,,,,,,,,Oxford Dictionary National Biography
"Berghe, Peter van den","Montanus, Petrus",male,,1628,Ghent,Flanders,,yes,yes,no,no,,Dutch,yes,,,,yes,yes,,,,,,,,yes,,yes,,,,,,,"Briels, 'Biografische aantekeningen'"
"Bomberg, Daniel",,male,,,Antwerp,Brabant,,yes,no,no,no,Italy,Dutch,yes,,,,,,yes,,,,,,,yes,,,,,,,,,
"Bry, Theodor de",,male,1528,1598,Luik,Luik,,yes,no,yes,yes,,Dutch,yes,yes,yes,,yes,,,,,,,,,yes,,,,,,engraver,,,Van Groesen
"Canin, Jean",,male,1534,,Ghent,Flanders,,yes,yes,no,yes,,Dutch,yes ,yes,yes,,,,,,,,,,,yes,,,,,,,,Certayne newes of the whole discription (1574),
"Cassander, Joris",,male,1513,1566,,Flanders,,no,no,no,yes,,Dutch,yes,,,,yes,,,,,,yes,,,,,,,,,,,Consultatio de articulis religionis inter catholicos et protestantes controversis  (1564),
"Cerf, Abraham de",,male,,1642,,,1598,no,no,yes,no,,Dutch,yes,yes,,,,,,,,,,,,,,yes,,,,,,,"Briels, 'Biografische aantekeningen'"
"Charpentier, Pierre","Carpenterius, Petrus",male,,1620,,Brabant,1595,yes,yes,no,yes,,Dutch,yes,yes,,,yes,yes,,,,,yes,,,,,yes,,,,,,"Xenia (1600), Phrases latinae linguae (1603), Ramus aureus (1604)","Briels, 'Biografische aantekeningen', Van der Blom"
"Claesz, Cornelis",,male,,,,,,no,yes,no,no,,Dutch,yes,yes,,,yes,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Cloot, Bartholomeus",,male,,,Antwerp,Brabant,1574,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,yes,,,,,,Corte maniere (1582),"Briels, 'Biografische aantekeningen'"
"Clusius, Carolus","Écluse, Charles de l'",male,1526,1609,Arras,Flanders,,yes,yes,no,yes,Austria,French,,yes,,,yes,,,,yes,,yes,,,,yes,,,,yes,,,,
"Conincxloo, Gillis van",,male,1544,,Antwerp,Brabant,1585,yes,yes,no,yes,,Dutch,yes,yes,,,,,,,,,,,,,,,,yes,,painter,,,
"Coutereels, Jan",,male,,,Antwerp,Brabant,1594,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,yes,,,,,,"Cantique des victoires obtenues (1600), Questionnaire (1599), Les actes genereux (1618), L'arithmetique (1620), Den vasten stijl (1623), L'art solide (1623), Comptes ingenieux (1632), Constighe interest-rekeninghen (1632)","Briels, 'Biografische aantekeningen'"
"Critz, John de",,male,1551,,Antwerp,Brabant,,no,no,yes,no,,Dutch,yes,,,yes,,,,,,,,,,,,,yes,,,painter,,,"Hearn, Town"
"Damman, Adriaan",,male,,1605,Ghent,Flanders,,yes,yes,no,yes,Scotland,Dutch,yes,yes,,,yes,,,,,,yes,,,,yes,,,,yes,,,"Omnium poene gentium imagines (1577), Imperii ac sacerdoti ornatus (1578), Schediasmata (1590), Bartasias (1600)",
