Name,Alternative name,Gender,Year of birth,Year of death,Place of birth,Province of birth,Year of (last) migration,Transmigration (yes/no),Region of arrival: Northern Low Countries,Region of arrival: England,Region of arrival: German lands,Region of arrival: other,Mother tongue,Dutch,French,German,English,Latin,Greek,Hebrew,Italian,Spanish,Other,Author,Calligrapher,Librarian,"Printer, publisher, editor",Professor,"Schoolmaster, teacher, tutor","Scribe, secretary, clerk, agent",Rhetorician,Translator,"Profession, other",Converted monk,Authored works,Sources
"Zammhu ,Blp",,male,1554.8701528325896,,Orewtpsr,Cpsbxgrs,1593.956054413111,yes,no,yes,no,,Dutch,yes,,yes,,yes,,,,,,yes,,,,,,,,,,,,Wjy
"Frrhiwed, Vbywixksfux",,male,1561.8496035147336,1637.3457973245258,Ulptmbun,Dcwqjlrs,,no,no,no,no,,Dutch,yes,yes,,,,yes,,,,,yes,,,,,yes,,,,,,Save. Assume. Media. Care. Likely. Sell. Relationship. Message. Large. Car. Green. Article.,Carthftoer
"Acdciq ,Hjmwinfhs",,male,,1592.9761221260705,Gjchtd,,1578.042726523469,yes,yes,no,no,,Dutch,yes,yes,,,,yes,,yes,,,,,,,,yes,,,,,,,"Gkjoyph, Cump"
"Ztznyuytg,,Wrjwkchuxvd",,male,,1583.3390778353373,,Lqmialt,1576.717905467129,no,no,yes,no,,French,yes,yes,,yes,yes,,,,,,,,,,,yes,,,,uvsrklbsnzg,,,Ayjcb
"Lgnnbgnihc,,Bqzkqblhrmq",,male,1522.7038392436966,,Lakjby,Gagrqjt,,no,yes,yes,yes,,French,yes,,yes,,yes,,,,,,yes,,,,,,,yes,yes,,,Despite. Best. Happen. Development. Perform.,
"Awapkqrsmg,,Pcwyat van",,male,,1631.6505290547427,Lyxxlvue,Crhbret,,no,yes,yes,yes,,Dutch,yes,yes,yes,yes,,,,,,,,,,,,yes,,,,,,,
"Wtlhvnnbnew, Vlbdpcepnsx",,male,,,Sgyeoafce,Dslharrs,,no,no,no,no,,Dutch ,yes,yes,,,,yes,,,,,,,,,,yes,,,,,,Late. Maintain. Support. Will. Spend. Pull. Fire. Industry. Resource. Marriage.,
"Hhlfqmzos,,Qifq",,male,,,,Cuydnzrs,,yes,yes,yes,no,,Dutch,yes,,,yes,yes,,,,,,,,,yes,,yes,,,,,,,Dkxz
"Hsyipamz,,Ddeh",,male,,,,Hdpfoet,,yes,no,no,yes,,Dutch,yes,yes,,,,,yes,,,,yes,yes,,,,,,,,igtakzypva,,Position together. Federal rule. Strong. Provide. Develop garden. Perhaps public. Amount drug. Give deep. Yet.,"Hwdlrj, Jouejfcaamvwhch boekdrukkers"
Rauxlyi  Wupuig,,male,,,,Dvraxcrs,,yes,no,no,no,,French,yes,yes,,yes,yes,,,,,,,,,yes,,yes,,,,,,Grow. Business. Run. Most. Difference. Small. Value. Half.,"Vnoifdyzbx, 'Biografische aantekeningen'"
"Ltfrghmedk,,Cfgsgye",,male,1583.6098961581029,,,Hjgcrkrs,,no,yes,yes,no,,Dutch,yes,,,,,,yes,,yes,,yes,,,,,,,,,,,,
"Rfytkrc ,Qac I'",,male,1546.9278105538729,,Venib,Dyszwbt,,yes,yes,yes,yes,,Dutch,yes,yes,,,,yes,,,,,,,,yes,,,,,,wtbddyb,,,"Ewfme, Opkggmnywmtsxep boekdrukkers"
